group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5869565217391305,0.5992304990748166,0.0
correct,mp,erase_bedrooms,0.5835240274599542,0.5962478967149439,0.003432494279176246
correct,mp,erase_bathrooms,0.5709382151029748,0.5857904420436855,0.016018306636155666
correct,mp,erase_year_built,0.5766590389016019,0.5890613451589062,0.010297482837528626
correct,mp,erase_lot_size,0.580091533180778,0.5835731471434636,0.006864988558352492
incorrect,mp,baseline,0.6036036036036037,0.633161201791131,0.0
incorrect,mp,erase_bedrooms,0.5990990990990991,0.6203686985410949,0.0045045045045045695
incorrect,mp,erase_bathrooms,0.5960960960960962,0.6217860754008379,0.007507507507507505
incorrect,mp,erase_year_built,0.6036036036036037,0.6259569550772787,0.0
incorrect,mp,erase_lot_size,0.6096096096096096,0.6324570273003033,-0.006006006006005982
