group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5240274599542334,0.5210747852159373,0.0
correct,mp,erase_bedrooms,0.5240274599542334,0.5186478170390988,0.0
correct,mp,erase_bathrooms,0.5148741418764302,0.5176675944709157,0.009153318077803174
correct,mp,erase_year_built,0.522883295194508,0.5215308245925786,0.0011441647597253413
correct,mp,erase_lot_size,0.5205949656750573,0.519465542817904,0.003432494279176135
incorrect,mp,baseline,0.5495495495495496,0.5538693485483172,0.0
incorrect,mp,erase_bedrooms,0.5465465465465466,0.553291564350715,0.0030030030030030463
incorrect,mp,erase_bathrooms,0.5495495495495496,0.5516439765997401,0.0
incorrect,mp,erase_year_built,0.5480480480480481,0.5528401704463383,0.0015015015015015232
incorrect,mp,erase_lot_size,0.5540540540540541,0.5587353748374982,-0.0045045045045044585
