group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5783132530120482,0.5887700637431841,0.0
correct,mp,erase_bedrooms,0.5618838992332968,0.5749606405038016,0.01642935377875132
correct,mp,erase_bathrooms,0.5684556407447974,0.5799045772214115,0.009857612267250793
correct,mp,erase_year_built,0.5662650602409639,0.5745838453267799,0.012048192771084265
correct,mp,erase_lot_size,0.5706462212486308,0.5884148682896858,0.00766703176341732
incorrect,mp,baseline,0.5885167464114832,0.6205832290876279,0.0
incorrect,mp,erase_bedrooms,0.5821371610845295,0.6138568176691345,0.006379585326953707
incorrect,mp,erase_bathrooms,0.5773524720893142,0.6158562844779853,0.011164274322169043
incorrect,mp,erase_year_built,0.5885167464114832,0.6179787953981503,0.0
incorrect,mp,erase_lot_size,0.594896331738437,0.6157640013944999,-0.006379585326953818
