layer,bathrooms_p1_more,bedrooms_p1_more,lot_p1_larger,price_p1_higher,year_p1_newer
0,0.6837713327983045,0.673441029079616,0.723876566873555,0.5767118647937923,0.7262217631644384
1,0.6721544075589825,0.7123711885940146,0.7226633807959109,0.5592973295936734,0.7738451827623802
2,0.6900409252747934,0.7704642504234895,0.7189211391018621,0.5589966853015387,0.8274019242172108
3,0.7111065786381593,0.7813338156408808,0.7598842339053182,0.5632704009985958,0.8169851380042463
4,0.6934107203823832,0.7710156691134952,0.7794853657052452,0.5696219873729397,0.8318394827948967
5,0.6898280961101037,0.7541246118012422,0.7485034836314958,0.5567551727943555,0.8149385053843652
6,0.7525949639298906,0.775202039808018,0.7578077461360595,0.5741164292591592,0.830359021441824
7,0.7911746839708602,0.8098046654432525,0.7579389527808202,0.548706278137832,0.8618044796388744
8,0.7730709031494282,0.8108986801242236,0.758606395278082,0.6058191795835887,0.9218262848836097
9,0.8114910013168805,0.8123588368153586,0.7758172842886698,0.533563700436505,0.9259616304202293
10,0.817920215666887,0.8549151256352344,0.8062553243276135,0.5801787882132214,0.931692201755896
11,0.8779025685819815,0.8882384599096557,0.8515748600462456,0.6066164578013389,0.9643350356726154
12,0.9223616942975086,0.9264341297289667,0.9079119508336375,0.6132648828438667,0.9837646563761213
13,0.9260551670930639,0.9498870694522868,0.9095149537544114,0.6125208833614315,0.9854861230657409
14,0.9346437106764864,0.9491547854319593,0.9161722648168431,0.6199285303821989,0.9872171534591918
15,0.9396629318104225,0.960253740824393,0.9266764025800169,0.6243354429175436,0.9905128057994299
16,0.9239002718005791,0.950689935064935,0.9163472070098576,0.6043559171744003,0.9842810963830071
17,0.9289217099049805,0.9454536631846415,0.913650815382743,0.6050257069897895,0.9857462558099501
18,0.9172981337542621,0.9421539737436476,0.9110266824875259,0.617142813650012,0.98182513723915
19,0.9151255026980532,0.9449331239412762,0.9132020506267494,0.6229540014233034,0.9803217229968822
20,0.9172537943449517,0.9408085121400338,0.9046336862601922,0.6268585715971061,0.9817562785715652
21,0.916832569956503,0.9366883116883117,0.8937568455640745,0.6197420548085961,0.9805742047780264
22,0.9120572155737741,0.9376235177865613,0.8928688237799683,0.623498205648307,0.9790057573497065
23,0.9245742308220969,0.9421451510446075,0.9000319459656807,0.6252830432813612,0.9829383523651039
24,0.9149791826473288,0.9497326722190851,0.8990716654496775,0.6305119705901381,0.9858533692928597
25,0.9216034903983009,0.9466094367588933,0.9037741876597298,0.6253172938969209,0.987031617604866
26,0.9270971432118581,0.9535926030491249,0.8969343282219788,0.6322473351118283,0.9861708842600563
27,0.9275183676003067,0.9510428430265387,0.8891836284532066,0.6295225083628586,0.9844838469042291
