layer,bathrooms_p1_more,bedrooms_p1_more,lot_p1_larger,price_p1_higher,year_p1_newer
0,0.5319842329060492,0.5009241777244495,0.6523765516611902,0.5058511468247777,0.5702492301218416
1,0.5279981200090452,0.6087816734895539,0.6748357064622124,0.5375976618246445,0.5997016124404659
2,0.5228636164109022,0.5349334768492378,0.6726679445052939,0.5069547777705894,0.5724488820030221
3,0.6095294258489888,0.6634471167419537,0.7000730193501278,0.5085074723426279,0.6140930739656854
4,0.6580899469257271,0.6565742341897233,0.6959238469027627,0.5278286251422352,0.651999770471108
5,0.6868174502179282,0.6869750494071147,0.7040111202385299,0.5287457805144442,0.6385379009582832
6,0.6686781978690481,0.6371929700734048,0.6417374041621029,0.5397135887414422,0.6361048947036207
7,0.6248974651159697,0.6231339991530209,0.6936115674820494,0.5336245904197223,0.6445764235573154
8,0.5121246114759259,0.6393192405420666,0.6882016703176341,0.5353637605653635,0.6721409307396569
9,0.6333707262351851,0.6046989695087521,0.7018338505537299,0.5228470633902782,0.6839310648227845
10,0.7768242341475526,0.7095876270468662,0.7178258488499453,0.5480707389380025,0.7426330789388114
11,0.7662648038202835,0.6782538114059853,0.7050816903979555,0.5460004795086179,0.7533023469329201
12,0.8172639924090931,0.767760093167702,0.6938663745892663,0.5434868648889329,0.7968229375872687
13,0.8213188313905282,0.7757755152456239,0.7021419009370816,0.5702232759572096,0.781323999158394
14,0.8476010162592613,0.808503317334839,0.7978447882438846,0.5670132321544779,0.8449876628220577
15,0.8708792061472158,0.831645256916996,0.829556863818912,0.5868500469994559,0.8813431265660565
16,0.8981789804596224,0.8774482989836251,0.8639634294754777,0.5680959321685587,0.9227692660813681
17,0.9083482239849601,0.8966817828910222,0.9037285505659,0.5708359814133326,0.9384690422906983
18,0.9159546496521573,0.940543831168831,0.9191729037361567,0.5782531424939776,0.9549779078441498
19,0.9414099045372517,0.9647841967814794,0.9412726664232688,0.5996940278343336,0.9673724680094107
20,0.9463626165572223,0.9641710191981931,0.9245580808080809,0.5850043193831844,0.9563130008989883
21,0.9425095218881493,0.9594420525127046,0.9215232140683947,0.5904577785050749,0.9709091256861958
22,0.9464246917302569,0.9618462380011292,0.9204944779116465,0.5864618733564462,0.9660297239915074
23,0.9394013292954911,0.9625211744776963,0.9254080716806621,0.6059466679859496,0.9711558692450413
24,0.9240754124673551,0.953989624505929,0.9226432244128027,0.5957742351647265,0.9710640576882617
25,0.9153915391539155,0.9523022833145116,0.9264634294754777,0.5949750541350006,0.9604406954725426
26,0.9099067542222202,0.9442118682947487,0.9176820920043812,0.5953403940343039,0.9399762820144986
27,0.9087384107868915,0.9400696110954263,0.9155751795059024,0.5965467768267947,0.952407184254318
28,0.8889608172639923,0.9410952498588369,0.9087201077035414,0.5804489875137477,0.9471490598879135
29,0.8808976956808983,0.9297316134952005,0.8938176950225143,0.5784129786999227,0.9361967062604004
30,0.894447819166153,0.930768280632411,0.8892273640014603,0.6001316745887072,0.9380252864329298
31,0.8982809611010362,0.9334900832862789,0.8833363758062553,0.5984077269388702,0.944142231403378
32,0.8924858003041685,0.9400497600225861,0.8932149050748449,0.5837941309667427,0.9352307721734472
33,0.8798180310641902,0.9418672360248446,0.887879168187903,0.5854305492657048,0.9290086264608557
34,0.8944566870480151,0.9379830427724449,0.8875996409881952,0.6039715491553417,0.9241617413591936
35,0.9000057641232103,0.9441104072557878,0.9002639345259827,0.5959892529179622,0.9301849620320958
