layer,bathrooms_p1_more,bedrooms_p1_more,lot_p1_larger,price_p1_higher,year_p1_newer
0,0.7085769980506823,0.7046783625730995,0.6471734892787524,0.5614035087719298,0.6734892787524367
1,0.7144249512670565,0.7270955165692008,0.6345029239766082,0.543859649122807,0.7017543859649122
2,0.7085769980506823,0.767056530214425,0.6432748538011696,0.5448343079922028,0.7602339181286549
3,0.7134502923976608,0.7543859649122807,0.6861598440545809,0.5428849902534113,0.746588693957115
4,0.7056530214424951,0.753411306042885,0.7105263157894737,0.5321637426900585,0.7709551656920078
5,0.7144249512670565,0.7358674463937622,0.6832358674463938,0.5272904483430799,0.7543859649122807
6,0.7309941520467836,0.7612085769980507,0.6803118908382066,0.5477582846003899,0.7602339181286549
7,0.7602339181286549,0.7807017543859649,0.6851851851851852,0.5380116959064327,0.7816764132553606
8,0.753411306042885,0.7738791423001949,0.6978557504873294,0.5857699805068226,0.8508771929824561
9,0.7846003898635477,0.7846003898635477,0.6988304093567251,0.5224171539961013,0.8518518518518519
10,0.7748538011695907,0.8128654970760234,0.7222222222222222,0.5536062378167641,0.8625730994152047
11,0.834307992202729,0.8391812865497076,0.7777777777777778,0.5789473684210527,0.9181286549707602
12,0.8742690058479532,0.8771929824561403,0.8411306042884991,0.5818713450292398,0.956140350877193
13,0.8664717348927875,0.9044834307992202,0.8362573099415205,0.5857699805068226,0.9580896686159844
14,0.8898635477582846,0.8996101364522417,0.8586744639376218,0.5916179337231969,0.9600389863547758
15,0.8918128654970761,0.9113060428849903,0.8732943469785575,0.5886939571150097,0.9590643274853801
16,0.8879142300194932,0.9025341130604289,0.8518518518518519,0.5730994152046783,0.9532163742690059
17,0.8927875243664717,0.9005847953216374,0.8538011695906432,0.5682261208576999,0.9473684210526315
18,0.8830409356725146,0.8859649122807017,0.8469785575048733,0.5984405458089669,0.9444444444444444
19,0.8693957115009746,0.8937621832358674,0.827485380116959,0.6052631578947368,0.9405458089668616
20,0.8693957115009746,0.8898635477582846,0.8245614035087719,0.6003898635477583,0.9454191033138402
21,0.8693957115009746,0.8810916179337231,0.8187134502923976,0.5994152046783626,0.9454191033138402
22,0.8635477582846004,0.8830409356725146,0.8206627680311891,0.6052631578947368,0.9385964912280702
23,0.8752436647173489,0.8898635477582846,0.8265107212475633,0.5974658869395711,0.9512670565302144
24,0.8742690058479532,0.8918128654970761,0.8391812865497076,0.601364522417154,0.9434697855750487
25,0.8840155945419104,0.8879142300194932,0.8411306042884991,0.5906432748538012,0.9483430799220273
26,0.8898635477582846,0.8976608187134503,0.8294346978557505,0.5955165692007798,0.9512670565302144
27,0.8752436647173489,0.898635477582846,0.8226120857699805,0.6101364522417154,0.9512670565302144
