group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.6046002190580504,0.6365678519314953,0.0
correct,mp,erase_bedrooms,0.6067907995618839,0.6243616081714154,-0.0021905805038334725
correct,mp,erase_bathrooms,0.6067907995618839,0.626079986176177,-0.0021905805038334725
correct,mp,erase_year_built,0.5991237677984665,0.6215008447891867,0.005476451259583848
correct,mp,erase_lot_size,0.6089813800657174,0.6375806389678214,-0.004381161007667056
incorrect,mp,baseline,0.6044657097288676,0.6262124971802391,0.0
incorrect,mp,erase_bedrooms,0.5725677830940988,0.6073559871213831,0.03189792663476876
incorrect,mp,erase_bathrooms,0.5901116427432217,0.6154974058199865,0.014354066985645897
incorrect,mp,erase_year_built,0.5853269537480064,0.62088058568997,0.019138755980861233
incorrect,mp,erase_lot_size,0.5853269537480064,0.6249102803355003,0.019138755980861233
