group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5251716247139588,0.5367845554664444,0.0
correct,mp,erase_bedrooms,0.5320366132723112,0.5395050662305463,-0.006864988558352381
correct,mp,erase_bathrooms,0.5160183066361556,0.5336604236448554,0.009153318077803285
correct,mp,erase_year_built,0.522883295194508,0.5347821756747548,0.0022883295194507935
correct,mp,erase_lot_size,0.5308924485125858,0.5381317062687068,-0.005720823798626928
incorrect,mp,baseline,0.5480480480480481,0.5623916654629496,0.0
incorrect,mp,erase_bedrooms,0.5525525525525525,0.5628340314892387,-0.0045045045045044585
incorrect,mp,erase_bathrooms,0.5495495495495496,0.5579499494438827,-0.0015015015015015232
incorrect,mp,erase_year_built,0.5525525525525525,0.5624638884876498,-0.0045045045045044585
incorrect,mp,erase_lot_size,0.551051051051051,0.5641521016900187,-0.0030030030030029353
