group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.6100766703176341,0.6396110129790339,0.0
correct,mp,erase_bedrooms,0.5947426067907996,0.6261423853774671,0.01533406352683453
correct,mp,erase_bathrooms,0.6013143483023001,0.6261759849473927,0.008762322015334001
correct,mp,erase_year_built,0.6013143483023001,0.630395130942324,0.008762322015334001
correct,mp,erase_lot_size,0.6067907995618839,0.6393662161124338,0.003285870755750264
incorrect,mp,baseline,0.6220095693779905,0.6410700736213932,0.0
incorrect,mp,erase_bedrooms,0.6060606060606061,0.630447265344626,0.01594896331738438
incorrect,mp,erase_bathrooms,0.6172248803827751,0.6257305744109264,0.004784688995215336
incorrect,mp,erase_year_built,0.6140350877192983,0.6394089781186556,0.00797448165869219
incorrect,mp,erase_lot_size,0.5996810207336523,0.635850952566495,0.022328548644338198
