group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5542168674698795,0.5734678596113969,0.0
correct,mp,erase_bedrooms,0.5498357064622125,0.5648855694647108,0.004381161007667056
correct,mp,erase_bathrooms,0.5487404162102957,0.5699255049535366,0.005476451259583848
correct,mp,erase_year_built,0.5410733844468785,0.56011923047385,0.013143483023001057
correct,mp,erase_lot_size,0.5465498357064622,0.57238787343522,0.00766703176341732
incorrect,mp,baseline,0.594896331738437,0.6160613579968419,0.0
incorrect,mp,erase_bedrooms,0.5885167464114832,0.6157434940426143,0.006379585326953818
incorrect,mp,erase_bathrooms,0.5901116427432217,0.6135184463630212,0.004784688995215336
incorrect,mp,erase_year_built,0.6076555023923444,0.6178865123146648,-0.012759170653907415
incorrect,mp,erase_lot_size,0.5757575757575758,0.6082685642802945,0.019138755980861233
