group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5750273822562979,0.5962915674679363,0.0
correct,mp,erase_bedrooms,0.5739320920043811,0.5993299285769141,0.0010952902519167917
correct,mp,erase_bathrooms,0.5772179627601315,0.593402004454343,-0.0021905805038335835
correct,mp,erase_year_built,0.5662650602409639,0.5911412333922126,0.008762322015334001
correct,mp,erase_lot_size,0.583789704271632,0.6019986944167115,-0.008762322015334112
incorrect,mp,baseline,0.5901116427432217,0.6341078276562149,0.0
incorrect,mp,erase_bedrooms,0.5885167464114832,0.6372557061706621,0.0015948963317384823
incorrect,mp,erase_bathrooms,0.5901116427432217,0.6295039271578862,0.0
incorrect,mp,erase_year_built,0.5885167464114832,0.6357484158070669,0.0015948963317384823
incorrect,mp,erase_lot_size,0.5853269537480064,0.6416340257982487,0.004784688995215336
