zpid_1,zpid_2,pred_choice,model_text,price.y_1,price.y_2,true_choice,correct
59174008,102987891,1,CHOICE: 1,2525000.0,1087500.0,1.0,True
59168821,59170929,1,CHOICE: 1,2712500.0,2225000.0,1.0,True
63710012,71505090,1,CHOICE: 1,1925000.0,1520000.0,1.0,True
59211050,123849004,2,CHOICE: 2,845000.0,685000.0,1.0,False
59187577,71505006,2,CHOICE: 2,585000.0,379186.0,1.0,False
59109527,90141612,1,CHOICE: 1,1029000.0,840000.0,1.0,True
59111352,59114374,2,CHOICE: 2,485000.0,585000.0,2.0,True
59112243,59118649,1,CHOICE: 1,665000.0,825000.0,2.0,False
59105787,59119241,1,CHOICE: 1,1100000.0,785000.0,1.0,True
59112262,59119241,1,CHOICE: 1,505000.0,785000.0,2.0,False
59103939,59115237,1,CHOICE: 1,575000.0,745000.0,2.0,False
59150007,2120545827,1,CHOICE: 1,1699000.0,1171000.0,1.0,True
87796377,190047916,1,CHOICE: 1,1499000.0,1895000.0,2.0,False
59149693,117686364,1,CHOICE: 1,1745000.0,1369000.0,1.0,True
59151180,59151558,2,CHOICE: 2,800000.0,1000000.0,2.0,True
59163035,59211504,1,CHOICE: 1,687500.0,970000.0,2.0,False
87793474,117686364,1,CHOICE: 1,1140000.0,1369000.0,2.0,False
117686364,118325134,2,CHOICE: 2,1369000.0,1079000.0,1.0,False
59148930,59150813,2,CHOICE: 2,950000.0,735000.0,1.0,False
59149738,59152738,2,CHOICE: 2,1375000.0,1675000.0,2.0,True
59151155,59151610,2,CHOICE: 2,970000.0,1475000.0,2.0,True
59122039,59122794,1,CHOICE: 1,455000.0,605000.0,2.0,False
59123471,102988148,1,CHOICE: 1,400000.0,500000.0,2.0,False
59101062,59101485,2,CHOICE: 2,1390000.0,1755000.0,2.0,True
59099615,59100004,2,CHOICE: 2,877500.0,1080000.0,2.0,True
59100267,59101126,2,CHOICE: 2,675000.0,850000.0,2.0,True
59100525,59100707,1,CHOICE: 1,1215000.0,943000.0,1.0,True
