group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5675057208237986,0.5822574473326939,0.0
correct,mp,erase_bedrooms,0.5617848970251716,0.5819429374177687,0.005720823798626928
correct,mp,erase_bathrooms,0.5663615560640732,0.5756946737745907,0.0011441647597253413
correct,mp,erase_year_built,0.5663615560640732,0.5755950789681978,0.0011441647597253413
correct,mp,erase_lot_size,0.5606407322654462,0.5802812767005813,0.006864988558352381
incorrect,mp,baseline,0.6006006006006006,0.6321049400548895,0.0
incorrect,mp,erase_bedrooms,0.5855855855855856,0.6181974938610428,0.01501501501501501
incorrect,mp,erase_bathrooms,0.5720720720720721,0.6121172179690885,0.028528528528528496
incorrect,mp,erase_year_built,0.5945945945945946,0.633784125379171,0.006006006006005982
incorrect,mp,erase_lot_size,0.6036036036036037,0.6312879170879677,-0.0030030030030030463
