target,feature,layer,mean_norm
single_logit,lot,0,0.23299108608067035
single_logit,bathrooms,0,0.0941542123532854
single_logit,bedrooms,0,0.06589110614638775
single_logit,year_built,0,0.16453489821404219
single_logit,property_type,0,0.4424286955296993
single_logit,__total__,0,0.11026528094708919
single_logit,lot,1,0.2679790825247765
single_logit,bathrooms,1,0.10850960143096745
single_logit,bedrooms,1,0.0665495095923543
single_logit,year_built,1,0.1851261966973543
single_logit,property_type,1,0.37183560988307
single_logit,__total__,1,0.11823565155267715
single_logit,lot,2,0.2795753270983696
single_logit,bathrooms,2,0.11819522093236447
single_logit,bedrooms,2,0.07884931366890668
single_logit,year_built,2,0.1937955835238099
single_logit,property_type,2,0.32958455228805544
single_logit,__total__,2,0.1382102399021387
single_logit,lot,3,0.2558035967499018
single_logit,bathrooms,3,0.11285433813836425
single_logit,bedrooms,3,0.07007764019537717
single_logit,year_built,3,0.24107630625367166
single_logit,property_type,3,0.3201881202459335
single_logit,__total__,3,0.15098851677775382
single_logit,lot,4,0.24383280371129512
single_logit,bathrooms,4,0.11788285185396671
single_logit,bedrooms,4,0.0762228332851082
single_logit,year_built,4,0.2544564440995455
single_logit,property_type,4,0.3076050696074963
single_logit,__total__,4,0.1515585974752903
single_logit,lot,5,0.2626148477345705
single_logit,bathrooms,5,0.10529685102961958
single_logit,bedrooms,5,0.08202867761626839
single_logit,year_built,5,0.23366137874126433
single_logit,property_type,5,0.3163982462584972
single_logit,__total__,5,0.15274775204062463
single_logit,lot,6,0.26199248772859574
single_logit,bathrooms,6,0.0861297946833074
single_logit,bedrooms,6,0.09714400278532412
single_logit,year_built,6,0.2524639454334974
single_logit,property_type,6,0.30226976877450945
single_logit,__total__,6,0.13968363635241984
single_logit,lot,7,0.2841009258031845
single_logit,bathrooms,7,0.09535737309604883
single_logit,bedrooms,7,0.11119432113692164
single_logit,year_built,7,0.23369863487780093
single_logit,property_type,7,0.2756487425118685
single_logit,__total__,7,0.13184601575136184
single_logit,lot,8,0.2216511531919241
single_logit,bathrooms,8,0.09454330777842551
single_logit,bedrooms,8,0.1323056387975812
single_logit,year_built,8,0.25914903356134894
single_logit,property_type,8,0.2923508676290512
single_logit,__total__,8,0.12026732555031776
single_logit,lot,9,0.21673065365850924
single_logit,bathrooms,9,0.08869298821594566
single_logit,bedrooms,9,0.10104735449701548
single_logit,year_built,9,0.32108872701227664
single_logit,property_type,9,0.2724402760565281
single_logit,__total__,9,0.10021409019827843
single_logit,lot,10,0.23484865374863148
single_logit,bathrooms,10,0.10535877253091894
