sample_id,target,feature,norm_relevance,signed_norm,token_count
0,single_logit,lot,0.15915705679151002,0.15915705679151002,12
0,single_logit,bathrooms,0.12728117696809074,0.12728117696809074,2
0,single_logit,bedrooms,0.0997969815221508,0.0997969815221508,2
0,single_logit,year_built,0.30893036191783446,0.30893036191783446,4
0,single_logit,property_type,0.30483442280041395,0.30483442280041395,10
0,logit_diff,lot,0.16488197522728024,-0.16488197522728024,12
0,logit_diff,bathrooms,0.29391576754884263,-0.29391576754884263,2
0,logit_diff,bedrooms,0.053477112715644815,-0.053477112715644815,2
0,logit_diff,year_built,0.1408462137497762,0.1408462137497762,4
0,logit_diff,property_type,0.3468789307584561,0.3468789307584561,10
1,single_logit,lot,0.13908429192819866,0.13908429192819866,12
1,single_logit,bathrooms,0.09087165133773902,0.09087165133773902,2
1,single_logit,bedrooms,0.04402198102287923,0.025899063287912888,2
1,single_logit,year_built,0.15667969304201396,0.15667969304201396,4
1,single_logit,property_type,0.5693423826691691,0.5693423826691691,7
1,logit_diff,lot,0.0674362328035023,-0.0533248780405564,12
1,logit_diff,bathrooms,0.037211491113918777,0.037211491113918777,2
1,logit_diff,bedrooms,0.12963396954866577,-0.12963396954866577,2
1,logit_diff,year_built,0.08480911450388712,0.08480911450388712,4
1,logit_diff,property_type,0.6809091920300261,0.6809091920300261,7
2,single_logit,lot,0.2549911549153399,0.2549911549153399,8
2,single_logit,bathrooms,0.04094010614101592,0.04094010614101592,2
2,single_logit,bedrooms,0.0758150113722517,0.0758150113722517,2
2,single_logit,year_built,0.1753853929744756,0.1753853929744756,4
2,single_logit,property_type,0.45286833459691683,0.45286833459691683,7
2,logit_diff,lot,0.027423535099747164,0.021907124571011898,8
2,logit_diff,bathrooms,0.15547400708573422,-0.15547400708573422,2
2,logit_diff,bedrooms,0.09105247723291775,-0.09105247723291775,2
2,logit_diff,year_built,0.05083657633808622,0.03232172720715865,4
2,logit_diff,property_type,0.6752134042435146,0.6752134042435146,7
3,single_logit,lot,0.16331912294136341,0.16331912294136341,12
3,single_logit,bathrooms,0.06412635633486576,0.06412635633486576,2
3,single_logit,bedrooms,0.11700474290938208,0.11700474290938208,2
3,single_logit,year_built,0.1287052172003203,0.0992924227120502,4
3,single_logit,property_type,0.5268445606140685,0.5268445606140685,4
3,logit_diff,lot,0.06532027323863955,-0.05341115468145718,12
3,logit_diff,bathrooms,0.17774359446594695,-0.17774359446594695,2
3,logit_diff,bedrooms,0.11317384228872375,-0.10833576287486842,2
3,logit_diff,year_built,0.10383262742043382,0.02240402928569934,4
3,logit_diff,property_type,0.539929662586256,0.539929662586256,4
4,single_logit,lot,0.2057726297955741,0.2057726297955741,12
4,single_logit,bathrooms,0.13848524955096997,0.13848524955096997,2
4,single_logit,bedrooms,0.11556521695978154,0.11556521695978154,2
4,single_logit,year_built,0.12762839200777545,0.12762839200777545,4
4,single_logit,property_type,0.41254851168589896,0.41254851168589896,9
4,logit_diff,lot,0.10736042608239495,-0.10736042608239495,12
4,logit_diff,bathrooms,0.18837773077157735,-0.18837773077157735,2
4,logit_diff,bedrooms,0.19145579826784495,-0.19145579826784495,2
4,logit_diff,year_built,0.1494786527874955,0.1494786527874955,4
4,logit_diff,property_type,0.36332739209068726,0.3622500684669936,9
5,single_logit,lot,0.12872217760797494,0.12872217760797494,12
5,single_logit,bathrooms,0.10319145518210933,0.10319145518210933,2
5,single_logit,bedrooms,0.08438496512525154,0.08438496512525154,2
5,single_logit,year_built,0.4119109802713074,0.4119109802713074,4
5,single_logit,property_type,0.2717904218133568,0.2717904218133568,10
5,logit_diff,lot,0.3004566595871561,-0.3004566595871561,12
5,logit_diff,bathrooms,0.2210724825583403,-0.2210724825583403,2
5,logit_diff,bedrooms,0.07088598633358548,-0.07088598633358548,2
5,logit_diff,year_built,0.10849635678036194,0.090137396291088,4
5,logit_diff,property_type,0.2990885147405562,0.2645825942935577,10
6,single_logit,lot,0.17258115782945094,0.17258115782945094,12
6,single_logit,bathrooms,0.04002553718947422,0.011281329014793893,2
6,single_logit,bedrooms,0.14372104087340165,0.14372104087340165,2
6,single_logit,year_built,0.27982621879460723,0.27982621879460723,4
6,single_logit,property_type,0.3638460453130659,0.3638460453130659,10
6,logit_diff,lot,0.19342924569408185,-0.19342924569408185,12
6,logit_diff,bathrooms,0.25374784658081856,-0.25374784658081856,2
6,logit_diff,bedrooms,0.1339224745843209,-0.1339224745843209,2
6,logit_diff,year_built,0.17077632849248742,0.17077632849248742,4
