group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5629791894852135,0.566815144766147,0.0
correct,mp,erase_bedrooms,0.5487404162102957,0.5637527839643652,0.014238773274917849
correct,mp,erase_bathrooms,0.5465498357064622,0.5665271484524999,0.01642935377875132
correct,mp,erase_year_built,0.5399780941949617,0.5581992550495354,0.02300109529025185
correct,mp,erase_lot_size,0.556407447973713,0.5669879425543354,0.006571741511500528
incorrect,mp,baseline,0.5964912280701754,0.6299345815474848,0.0
incorrect,mp,erase_bedrooms,0.5901116427432217,0.6295757028894859,0.006379585326953707
incorrect,mp,erase_bathrooms,0.5996810207336523,0.6272891331542357,-0.0031897926634768536
incorrect,mp,erase_year_built,0.6028708133971292,0.6350511658429547,-0.006379585326953818
incorrect,mp,erase_lot_size,0.6124401913875598,0.6286836330824601,-0.01594896331738438
