group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5617848970251716,0.5898109271228109,0.0
correct,mp,erase_bedrooms,0.5652173913043478,0.5809574730176702,-0.003432494279176135
correct,mp,erase_bathrooms,0.5503432494279176,0.5647025522479596,0.011441647597254079
correct,mp,erase_year_built,0.5594965675057209,0.5855807687670687,0.0022883295194507935
correct,mp,erase_lot_size,0.5617848970251716,0.5912629145633816,0.0
incorrect,mp,baseline,0.5870870870870871,0.6126769464105157,0.0
incorrect,mp,erase_bedrooms,0.5630630630630631,0.5937906254513938,0.024024024024024038
incorrect,mp,erase_bathrooms,0.5675675675675675,0.5850245558283981,0.01951951951951958
incorrect,mp,erase_year_built,0.5720720720720721,0.6011122345803842,0.01501501501501501
incorrect,mp,erase_lot_size,0.5915915915915916,0.6134172324136935,-0.0045045045045044585
