group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.6210295728368017,0.657629982336226,0.0
correct,mp,erase_bedrooms,0.6078860898138007,0.6456637355041857,0.013143483023001057
correct,mp,erase_bathrooms,0.6232201533406353,0.6463021273327701,-0.0021905805038335835
correct,mp,erase_year_built,0.6067907995618839,0.6503916749865601,0.014238773274917849
correct,mp,erase_lot_size,0.6144578313253012,0.6579995776054066,0.006571741511500528
incorrect,mp,baseline,0.6220095693779905,0.6575272235096282,0.0
incorrect,mp,erase_bedrooms,0.620414673046252,0.6443307425712117,0.0015948963317384823
incorrect,mp,erase_bathrooms,0.5996810207336523,0.6441051617004696,0.022328548644338198
incorrect,mp,erase_year_built,0.6251993620414673,0.6566351537026024,-0.0031897926634768536
incorrect,mp,erase_lot_size,0.620414673046252,0.656071201525747,0.0015948963317384823
