group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5537757437070938,0.5761716804788939,0.0
correct,mp,erase_bedrooms,0.5434782608695652,0.5685657823696225,0.010297482837528626
correct,mp,erase_bathrooms,0.534324942791762,0.554281790400109,0.0194508009153318
correct,mp,erase_year_built,0.5549199084668193,0.574179784351035,-0.0011441647597254523
correct,mp,erase_lot_size,0.5537757437070938,0.5736189083360853,0.0
incorrect,mp,baseline,0.5645645645645646,0.5874891665462949,0.0
incorrect,mp,erase_bedrooms,0.5675675675675675,0.585976996966633,-0.0030030030030029353
incorrect,mp,erase_bathrooms,0.5645645645645646,0.5799418604651163,0.0
incorrect,mp,erase_year_built,0.5645645645645646,0.5835981510905677,0.0
incorrect,mp,erase_lot_size,0.5675675675675675,0.5888614040156002,-0.0030030030030029353
