group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5778032036613272,0.6030255853815792,0.0
correct,mp,erase_bedrooms,0.5732265446224256,0.5993563030407867,0.004576659038901587
correct,mp,erase_bathrooms,0.568649885583524,0.5818800354347837,0.009153318077803174
correct,mp,erase_year_built,0.5766590389016019,0.5984337406236732,0.0011441647597253413
correct,mp,erase_lot_size,0.5766590389016019,0.6019614935027493,0.0011441647597253413
incorrect,mp,baseline,0.5765765765765766,0.6088671818575763,0.0
incorrect,mp,erase_bedrooms,0.5765765765765766,0.6091741297125524,0.0
incorrect,mp,erase_bathrooms,0.5645645645645646,0.5881572295247725,0.012012012012011963
incorrect,mp,erase_year_built,0.5795795795795796,0.609101906687852,-0.0030030030030030463
incorrect,mp,erase_lot_size,0.5675675675675675,0.6062761808464538,0.009009009009009028
