group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5766590389016019,0.5887940117312198,0.0
correct,mp,erase_bedrooms,0.580091533180778,0.58942303156107,-0.003432494279176135
correct,mp,erase_bathrooms,0.568649885583524,0.580276034868666,0.008009153318077833
correct,mp,erase_year_built,0.5697940503432495,0.5827449377008277,0.006864988558352381
correct,mp,erase_lot_size,0.5617848970251716,0.5825142970965493,0.014874141876430214
incorrect,mp,baseline,0.6006006006006006,0.6359869276325292,0.0
incorrect,mp,erase_bedrooms,0.6021021021021021,0.6289812942366025,-0.0015015015015015232
incorrect,mp,erase_bathrooms,0.581081081081081,0.6166988660985122,0.01951951951951958
incorrect,mp,erase_year_built,0.6066066066066066,0.6304167268525206,-0.006006006006005982
incorrect,mp,erase_lot_size,0.5975975975975976,0.6365195724396937,0.0030030030030030463
