group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.522883295194508,0.5213054258202157,0.0
correct,mp,erase_bedrooms,0.5217391304347826,0.520770758964843,0.0011441647597254523
correct,mp,erase_bathrooms,0.5251716247139588,0.5176780781347465,-0.0022883295194507935
correct,mp,erase_year_built,0.5240274599542334,0.522039282288374,-0.0011441647597253413
correct,mp,erase_lot_size,0.5205949656750573,0.5183018561326812,0.0022883295194507935
incorrect,mp,baseline,0.5480480480480481,0.561976383070923,0.0
incorrect,mp,erase_bedrooms,0.5435435435435435,0.5627888920988011,0.0045045045045045695
incorrect,mp,erase_bathrooms,0.5495495495495496,0.5593086450960566,-0.0015015015015015232
incorrect,mp,erase_year_built,0.5480480480480481,0.5617145746063845,0.0
incorrect,mp,erase_lot_size,0.5465465465465466,0.5651045428282537,0.0015015015015015232
