group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5739320920043811,0.5754790338683664,0.0
correct,mp,erase_bedrooms,0.5553121577217963,0.5671079410183549,0.018619934282584794
correct,mp,erase_bathrooms,0.5542168674698795,0.5711542892250978,0.019715224534501585
correct,mp,erase_year_built,0.5575027382256298,0.5625623992012903,0.01642935377875132
correct,mp,erase_lot_size,0.5662650602409639,0.5760982259427079,0.007667031763417209
incorrect,mp,baseline,0.6092503987240829,0.6200807989664294,0.0
incorrect,mp,erase_bedrooms,0.6092503987240829,0.6154461374402723,0.0
incorrect,mp,erase_bathrooms,0.5996810207336523,0.6147181264483318,0.009569377990430672
incorrect,mp,erase_year_built,0.6012759170653907,0.6180813321575784,0.00797448165869219
incorrect,mp,erase_lot_size,0.6028708133971292,0.6128622111026802,0.006379585326953707
