2026-05-28 16:59:56 | INFO    | attnlrp | logging initialised -> D:\LLM_Product_Valuation\Attn-LRP\results\logs\run_20260528_165956.log
2026-05-28 16:59:57 | INFO    | attnlrp | ==============================================================================
2026-05-28 16:59:57 | INFO    | attnlrp | Attn-LRP Phase 1 - Llama-3.2-3B (open discovery of feature drivers)
2026-05-28 16:59:57 | INFO    | attnlrp | ==============================================================================
2026-05-28 16:59:59 | INFO    | attnlrp.attribution | loading meta-llama/Llama-3.2-3B-Instruct dtype=bfloat16 cpu_threads=24
2026-05-28 17:00:03 | INFO    | attnlrp.attribution | device=cuda layers=28 method=attnlrp
2026-05-28 17:01:46 | INFO    | attnlrp | 25/500 valid (median conservation 0.419)
2026-05-28 17:02:11 | INFO    | attnlrp | 50/500 valid (median conservation 0.419)
2026-05-28 17:02:38 | INFO    | attnlrp | 75/500 valid (median conservation 0.419)
2026-05-28 17:03:04 | INFO    | attnlrp | 100/500 valid (median conservation 0.419)
2026-05-28 17:03:35 | INFO    | attnlrp | 125/500 valid (median conservation 0.420)
2026-05-28 17:04:00 | INFO    | attnlrp | 150/500 valid (median conservation 0.420)
2026-05-28 17:04:26 | INFO    | attnlrp | 175/500 valid (median conservation 0.420)
2026-05-28 17:04:52 | INFO    | attnlrp | 200/500 valid (median conservation 0.421)
2026-05-28 17:05:23 | INFO    | attnlrp | 225/500 valid (median conservation 0.421)
2026-05-28 17:05:46 | INFO    | attnlrp | 250/500 valid (median conservation 0.421)
2026-05-28 17:06:13 | INFO    | attnlrp | 275/500 valid (median conservation 0.421)
2026-05-28 17:06:47 | INFO    | attnlrp | 300/500 valid (median conservation 0.421)
2026-05-28 17:07:25 | INFO    | attnlrp | 325/500 valid (median conservation 0.421)
2026-05-28 17:07:48 | INFO    | attnlrp | 350/500 valid (median conservation 0.421)
2026-05-28 17:08:12 | INFO    | attnlrp | 375/500 valid (median conservation 0.421)
2026-05-28 17:08:53 | INFO    | attnlrp | 400/500 valid (median conservation 0.421)
2026-05-28 17:09:27 | INFO    | attnlrp | 425/500 valid (median conservation 0.421)
2026-05-28 17:09:49 | INFO    | attnlrp | 450/500 valid (median conservation 0.421)
2026-05-28 17:10:12 | INFO    | attnlrp | 475/500 valid (median conservation 0.421)
2026-05-28 17:10:37 | INFO    | attnlrp | 500/500 valid (median conservation 0.421)
2026-05-28 17:10:37 | INFO    | attnlrp | ==============================================================================
2026-05-28 17:10:37 | INFO    | attnlrp | Phase 1 collected 500 valid samples - writing results
2026-05-28 17:10:37 | INFO    | attnlrp | ==============================================================================
2026-05-28 17:10:37 | INFO    | attnlrp | wrote attnlrp_single.csv (5 rows)
2026-05-28 17:10:37 | INFO    | attnlrp | wrote attnlrp_logitdiff.csv (5 rows)
2026-05-28 17:10:37 | INFO    | attnlrp | wrote significance.csv (6 rows)
2026-05-28 17:10:37 | INFO    | attnlrp | wrote signed_relevance.csv (10 rows)
2026-05-28 17:10:37 | INFO    | attnlrp | wrote layer_feature_relevance.csv (336 rows)
2026-05-28 17:10:37 | INFO    | attnlrp | wrote cross_method_correlation.csv (5 rows)
2026-05-28 17:10:37 | INFO    | attnlrp | wrote per_sample_relevance.csv (5000 rows)
2026-05-28 17:10:37 | INFO    | attnlrp | wrote conservation_and_sanity.csv (14 rows)
2026-05-28 17:10:37 | INFO    | attnlrp | wrote deletion_curve.csv (11 rows)
2026-05-28 17:10:37 | INFO    | attnlrp | Adebayo model-randomization sanity check
2026-05-28 17:12:18 | INFO    | attnlrp | randomization mean abs delta-relevance = 0.124 (should be clearly > 0)
