group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5761226725082147,0.6067602334690116,0.0
correct,mp,erase_bedrooms,0.5859802847754655,0.6093953997388833,-0.009857612267250793
correct,mp,erase_bathrooms,0.5739320920043811,0.6112961754089548,0.0021905805038335835
correct,mp,erase_year_built,0.5815991237677984,0.6082962138084632,-0.005476451259583737
correct,mp,erase_lot_size,0.592552026286966,0.6199744643268565,-0.01642935377875132
incorrect,mp,baseline,0.6156299840510366,0.6479810512068578,0.0
incorrect,mp,erase_bedrooms,0.6108452950558214,0.6499497569878802,0.004784688995215225
incorrect,mp,erase_bathrooms,0.6092503987240829,0.6542973155876383,0.006379585326953707
incorrect,mp,erase_year_built,0.6267942583732058,0.6595471976703648,-0.011164274322169154
incorrect,mp,erase_lot_size,0.6172248803827751,0.6549740581998647,-0.0015948963317384823
