group,condition,accuracy,auc,accuracy_drop
correct,baseline,0.620137299771167,0.6294376103020114,0.0
correct,erase_bedrooms,0.5045766590389016,0.5,0.11556064073226546
correct,erase_bathrooms,0.5045766590389016,0.5,0.11556064073226546
correct,erase_year_built,0.5045766590389016,0.5,0.11556064073226546
correct,erase_lot_size,0.5045766590389016,0.5,0.11556064073226546
correct,erase_sqft,0.5045766590389016,0.5,0.11556064073226546
incorrect,baseline,0.6111111111111112,0.6464053657514148,0.0
incorrect,erase_bedrooms,0.551051051051051,0.5,0.06006006006006015
incorrect,erase_bathrooms,0.551051051051051,0.5,0.06006006006006015
incorrect,erase_year_built,0.551051051051051,0.5,0.06006006006006015
incorrect,erase_lot_size,0.551051051051051,0.5,0.06006006006006015
incorrect,erase_sqft,0.551051051051051,0.5,0.06006006006006015
