group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.6166484118291348,0.6430861684970434,0.0
correct,mp,erase_bedrooms,0.6067907995618839,0.6247456032562784,0.009857612267250904
correct,mp,erase_bathrooms,0.5969331872946331,0.6275007679901698,0.019715224534501696
correct,mp,erase_year_built,0.5991237677984665,0.6226480301052146,0.017524644030668224
correct,mp,erase_lot_size,0.6254107338444688,0.6413485907380386,-0.008762322015334001
incorrect,mp,baseline,0.6140350877192983,0.6386502060988865,0.0
incorrect,mp,erase_bedrooms,0.5996810207336523,0.6222545782663085,0.014354066985646008
incorrect,mp,erase_bathrooms,0.6060606060606061,0.6292475852593155,0.00797448165869219
incorrect,mp,erase_year_built,0.6251993620414673,0.6426183786887599,-0.011164274322169043
incorrect,mp,erase_lot_size,0.6108452950558214,0.6392654266554559,0.0031897926634768536
