group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.624315443592552,0.6469837186084019,0.0
correct,mp,erase_bedrooms,0.6089813800657174,0.6276927655326012,0.01533406352683453
correct,mp,erase_bathrooms,0.6122672508214677,0.6299487366561708,0.012048192771084265
correct,mp,erase_year_built,0.6100766703176341,0.6293007449504647,0.014238773274917849
correct,mp,erase_lot_size,0.619934282584885,0.6461293295445819,0.004381161007666945
incorrect,mp,baseline,0.6076555023923444,0.6425158419293318,0.0
incorrect,mp,erase_bedrooms,0.6124401913875598,0.6284477985357751,-0.004784688995215336
incorrect,mp,erase_bathrooms,0.6012759170653907,0.6304370116686832,0.006379585326953707
incorrect,mp,erase_year_built,0.6124401913875598,0.6453356028136086,-0.004784688995215336
incorrect,mp,erase_lot_size,0.6092503987240829,0.6422492463548182,-0.0015948963317384823
