group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.551487414187643,0.5692681878462884,0.0
correct,mp,erase_bedrooms,0.5572082379862701,0.5685186058823838,-0.005720823798627039
correct,mp,erase_bathrooms,0.5606407322654462,0.5627578326073396,-0.009153318077803174
correct,mp,erase_year_built,0.5652173913043478,0.5725207445498053,-0.013729977116704761
correct,mp,erase_lot_size,0.5606407322654462,0.5713387114528785,-0.009153318077803174
incorrect,mp,baseline,0.5960960960960962,0.6252888920988011,0.0
incorrect,mp,erase_bedrooms,0.5945945945945946,0.6169019933554818,0.0015015015015015232
incorrect,mp,erase_bathrooms,0.5945945945945946,0.6088852376137512,0.0015015015015015232
incorrect,mp,erase_year_built,0.6081081081081081,0.6281326736963744,-0.012012012012011963
incorrect,mp,erase_lot_size,0.6111111111111112,0.625212155135057,-0.01501501501501501
