group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.6078860898138007,0.6300351355502649,0.0
correct,mp,erase_bedrooms,0.5914567360350493,0.6167009062284002,0.01642935377875132
correct,mp,erase_bathrooms,0.5870755750273823,0.6140945395898934,0.020810514786418377
correct,mp,erase_year_built,0.6089813800657174,0.6205960563704785,-0.0010952902519167917
correct,mp,erase_lot_size,0.6133625410733844,0.6341582827739805,-0.005476451259583737
incorrect,mp,baseline,0.6076555023923444,0.6317802432171933,0.0
incorrect,mp,erase_bedrooms,0.5964912280701754,0.6181531078891783,0.011164274322169043
incorrect,mp,erase_bathrooms,0.5996810207336523,0.6180300637778644,0.00797448165869219
incorrect,mp,erase_year_built,0.6060606060606061,0.6288066771937739,0.0015948963317383713
incorrect,mp,erase_lot_size,0.6012759170653907,0.628806677193774,0.006379585326953707
