group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5846681922196796,0.5953148506339996,0.0
correct,mp,erase_bedrooms,0.5652173913043478,0.591682261116615,0.0194508009153318
correct,mp,erase_bathrooms,0.5675057208237986,0.5771414193832461,0.017162471395881007
correct,mp,erase_year_built,0.5697940503432495,0.5900468095590047,0.014874141876430103
correct,mp,erase_lot_size,0.580091533180778,0.5967930472341474,0.004576659038901587
incorrect,mp,baseline,0.56006006006006,0.5988191535461505,0.0
incorrect,mp,erase_bedrooms,0.5705705705705706,0.597916365737397,-0.010510510510510551
incorrect,mp,erase_bathrooms,0.5435435435435435,0.5784793442149357,0.016516516516516533
incorrect,mp,erase_year_built,0.5585585585585585,0.5959663440704898,0.0015015015015015232
incorrect,mp,erase_lot_size,0.56006006006006,0.6017712696807742,0.0
