group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.5772179627601315,0.6065058367252899,0.0
correct,mp,erase_bedrooms,0.5739320920043811,0.6142241379310345,0.0032858707557503752
correct,mp,erase_bathrooms,0.5662650602409639,0.603673872974426,0.010952902519167584
correct,mp,erase_year_built,0.5892661555312158,0.6113105752246372,-0.012048192771084265
correct,mp,erase_lot_size,0.6035049288061336,0.6224752323170263,-0.026286966046002114
incorrect,mp,baseline,0.6188197767145136,0.6455509300084081,0.0
incorrect,mp,erase_bedrooms,0.6347687400318979,0.6516723745462749,-0.015948963317384268
incorrect,mp,erase_bathrooms,0.6140350877192983,0.6423722904661322,0.004784688995215336
incorrect,mp,erase_year_built,0.6331738437001595,0.6549843118758074,-0.014354066985645897
incorrect,mp,erase_lot_size,0.6299840510366826,0.6592498410680229,-0.011164274322169043
